"","Afghanistan","Albania","United Arab Emirates","Armenia","Antigua and Barbuda","Austria","Azerbaijan","Burundi","Belgium","Benin","Burkina Faso","Bangladesh","Bulgaria","Bahrain","Bahamas, The","Bosnia and Herzegovina","Belarus","Belize","Bolivia","Brazil","Barbados","Bhutan","Botswana","Central African Republic","Canada","Switzerland","Chile","China","Cote d'Ivoire","Congo, Dem. Rep.","Congo, Rep.","Colombia","Comoros","Cabo Verde","Costa Rica","Cyprus","Czech Republic","Germany","Djibouti","Dominica","Denmark","Dominican Republic","Algeria","Ecuador","Egypt, Arab Rep.","Spain","Estonia","Finland","Fiji","France","Gabon","United Kingdom","Georgia","Guinea","Gambia, The","Equatorial Guinea","Greece","Grenada","Guatemala","Guyana","Honduras","Croatia","Haiti","Hungary","Indonesia","India","Ireland","Iceland","Israel","Italy","Jamaica","Jordan","Japan","Kazakhstan","Kenya","Kyrgyz Republic","Cambodia","Kiribati","St. Kitts and Nevis","Korea, Rep.","Lao, PDR","Lebanon","Liberia","Libya","St. Lucia","Lesotho","Lithuania","Luxembourg","Latvia","Morocco","Moldova, Rep.","Madagascar","Maldives","Mexico","North Macedonia","Mali","Malta","Montenegro","Mozambique","Mauritania","Mauritius","Malawi","Namibia","Niger","Nigeria","Nicaragua","Netherlands","Norway","Nepal","Oman","Pakistan","Panama","Peru","Philippines","Poland","Portugal","Paraguay","West Bank and Gaza","Qatar","Romania","Russian Federation","Rwanda","Saudi Arabia","Senegal","Singapore","Solomon Islands","Sierra Leone","El Salvador","San Marino","Serbia","Sao Tome and Principe","Suriname","Slovakia","Slovenia","Sweden","Eswatini","Seychelles","Chad","Togo","Thailand","Tajikistan","Timor-Leste","Tonga","Trinidad and Tobago","Tunisia","Turkey","Taiwan, China","Uganda","Uruguay","United States","St. Vincent and the Grenadines","Venezuela, RB","Vietnam","Samoa","Kosovo","Yemen, Rep.","South Africa","Zambia"
"1999","NA","0.396842","NA","0.898206","NA","0.541733","NA","NA","1.124247","NA","NA","NA","2.555467","NA","NA","NA","294.1514","-1.176875","2.156372","4.857149","NA","NA","NA","NA","1.744292","0.807912","3.33328","-1.400824","NA","NA","NA","10.87418","NA","NA","10.04095","1.742477","2.145845","0.422967","NA","NA","2.48301","6.480608","NA","52.20699","3.081326","2.310855","3.311462","1.214359","NA","0.554135","NA","1.332651","19.16457","NA","NA","NA","2.632523","NA","5.210938","NA","11.67005","4.00477","NA","9.999695","20.38147","NA","1.556223","3.222987","5.18153","1.655546","5.93016","0.597633","-0.340369","8.374212","5.771983","NA","NA","NA","NA","0.810427","NA","NA","NA","NA","NA","NA","0.738945","1.026356","2.389295","NA","39.30653","NA","NA","16.56522","-1.251277","NA","NA","NA","NA","NA","6.851007","NA","NA","NA","6.601048","NA","2.159162","2.365692","NA","NA","4.145036","1.275082","3.47118","5.953669","7.275266","2.34698","6.760398","5.541934","NA","45.85627","85.91716","NA","-1.723132","NA","0.023601","NA","NA","0.509442","NA","NA","NA","NA","10.58996","6.126147","0.459285","NA","NA","NA","NA","0.433687","NA","NA","NA","3.418132","2.687631","64.83457","0.3706","5.757041","5.656373","2.193139","NA","23.57819","NA","NA","NA","NA","5.184844","26.73952"
"2000","NA","0.046656","NA","-0.739184","NA","2.331793","NA","NA","2.546734","NA","NA","NA","10.30487","NA","NA","NA","167.6707","0.611951","4.606254","7.041551","NA","NA","8.647614","NA","2.737636","1.561153","3.838287","0.361898","NA","NA","NA","9.217835","NA","NA","10.94888","4.20467","3.777592","1.516268","NA","NA","2.9274","7.765446","NA","96.04523","2.694604","3.431748","4.018399","3.360942","NA","1.663841","NA","0.800216","3.999637","NA","NA","NA","3.154015","NA","5.97527","NA","11.04123","4.599345","NA","9.818465","3.705672","NA","5.60464","5.120298","1.161752","2.503294","8.044105","0.679175","-0.674833","13.44973","9.991672","NA","NA","NA","NA","2.261132","NA","NA","NA","NA","NA","NA","0.988649","3.155718","2.647402","NA","31.09585","NA","NA","9.486141","6.633801","NA","NA","NA","NA","NA","4.249235","NA","NA","NA","6.891637","NA","2.359419","3.051002","NA","NA","4.371645","1.478052","3.762026","3.980393","10.06048","2.855916","8.990635","2.805926","NA","45.62718","20.78201","NA","-1.147452","NA","1.348091","NA","NA","2.271151","NA","NA","NA","NA","11.99741","8.934614","1.001525","NA","NA","NA","NA","1.513098","NA","NA","NA","3.522623","2.990069","54.85367","1.185066","3.374576","4.759925","3.366683","NA","16.21387","NA","NA","NA","NA","5.350354","26.07144"
"2001","NA","3.089922","NA","3.173422","1.398386","2.645572","1.571233","9.298072","2.468649","3.990825","4.988064","1.929777","7.449775","0.008655","2.042628","NA","60.83305","1.161469","1.602296","6.837456","2.584387","2.712487","6.508581","3.843733","2.507426","0.989863","3.565017","0.71405","4.360949","358.8873","0.081553","7.95818","5.531807","3.342191","11.26014","1.969356","4.666403","1.981122","1.748042","1.299182","2.370817","8.901645","4.229723","37.4384","2.284564","3.588055","5.745773","2.551725","4.26216","1.615761","2.134686","1.235106","4.698198","NA","4.479392","8.833897","3.377501","1.66227","7.287866","2.631456","9.666673","3.779902","14.15859","9.16716","11.48101","3.778289","4.839997","6.392533","1.115283","2.819536","6.862372","1.777539","-0.74021","8.549444","5.80432","6.901943","-0.596509","NA","2.306174","4.069052","7.736865","NA","NA","NA","5.301366","NA","1.372568","2.669763","2.476657","0.620494","9.587832","7.869837","0.6791","6.366705","5.207712","5.176627","2.928835","NA","NA","4.719016","5.399346","22.74411","NA","4.005065","18.83746","5.983503","4.1537","3.026955","2.695904","NA","3.5845","0.32802","1.977615","6.778631","5.493751","4.372439","7.273534","1.22791","NA","34.42803","21.47768","3.347735","-1.117171","2.967843","1.014691","6.894157","NA","3.742666","NA","95.48673","9.232189","38.84921","7.092397","8.375902","2.44087","5.963512","5.957285","12.39484","3.939828","1.377282","38.54564","NA","8.279026","5.59902","1.954282","54.34933","-0.198424","1.936276","4.370169","2.816629","0.895717","12.53286","-0.421669","3.854879","NA","NA","5.69397","21.24208"
"2002","NA","5.174821","NA","1.038033","2.402485","1.826459","2.777317","-1.362092","1.6449","2.491204","2.170444","3.363567","5.862736","1.554738","2.169629","NA","42.65498","2.218441","0.928734","8.451578","0.157094","2.687932","7.998616","2.340377","2.275633","0.639876","2.485898","-0.730988","3.077084","31.59825","4.375662","6.348321","3.509985","1.898991","9.166851","2.795691","1.890172","1.383238","0.63629","0.163644","2.421631","5.233945","1.41724","12.42373","2.72745","3.102868","3.556822","1.574043","0.753819","1.908084","0.031209","1.260519","5.601816","NA","8.59623","7.600935","3.628502","1.06566","8.125512","5.346698","7.698335","1.670052","9.859601","5.284603","11.89403","5.203442","4.60737","5.175578","5.667795","2.439741","7.04031","1.838055","-0.923796","6.03833","2.000107","2.138431","3.213373","NA","2.045673","2.766711","10.61249","NA","14.22549","-9.798514","-0.262009","NA","0.272174","2.075737","1.946164","2.795455","5.249053","16.46672","4.177486","5.037379","1.072018","5.039629","2.968567","NA","NA","3.893116","6.449643","14.72368","7.156545","2.624634","12.88477","3.750074","3.28388","1.297448","3.034183","-0.278168","3.68398","1.224419","0.195034","3.00495","1.898457","3.599562","10.52031","5.707691","NA","22.50579","15.77776","2.00512","0.257533","2.34479","-0.391698","10.16514","NA","1.863949","NA","19.56043","10.13008","15.44717","3.312583","7.476447","2.152313","12.00405","0.17421","5.166345","3.038397","0.69946","12.22846","4.504533","10.35338","4.135378","2.73969","44.89054","-0.197849","-0.302348","13.95779","1.59567","1.84923","22.42812","3.808224","8.054604","NA","12.26668","9.169428","22.29259"
"2003","NA","2.389685","NA","4.69599","1.989608","1.345026","2.130843","10.67499","1.588791","1.491825","2.038225","5.600668","2.388951","1.130584","3.023386","NA","28.49153","2.598778","3.34303","14.7129","1.570636","1.759795","9.205016","4.13625","2.741667","0.636067","2.810607","1.123045","3.286356","12.82929","-0.620234","7.122969","3.781237","1.198482","9.439855","4.137895","0.116343","0.993178","1.975572","1.451006","2.071203","27.46142","2.573401","7.913473","4.461496","3.041399","1.337893","0.889359","4.173719","2.113952","2.230407","1.360037","4.787936","NA","17.04597","7.335357","3.527977","2.153642","5.595048","5.98973","7.669834","1.768562","39.27117","4.664204","6.790078","4.324896","3.504304","2.06285","0.651095","2.708897","10.11796","2.348734","-0.258759","6.437237","9.820829","2.964148","1.198025","NA","2.239801","3.514011","15.49943","NA","10.31266","-2.191859","1.032205","6.626289","-1.127552","2.053309","2.94212","1.163765","11.65968","-1.724471","-1.267419","4.550559","0.867739","-1.327727","0.534159","NA","NA","5.154472","3.890382","9.563794","7.213399","-1.606507","14.0135","5.302181","2.090759","2.445221","5.705979","0.227761","2.874349","1.432484","2.260219","3.476934","0.799179","3.21977","14.19348","4.386157","2.423975","15.38116","13.65068","7.452847","0.617935","-0.054469","0.486898","9.966205","NA","2.119463","1.075033","9.892269","9.794213","23.07279","8.543893","5.538835","1.9253","7.253539","3.309398","-1.693367","-0.935714","1.800875","16.25759","7.174832","11.63379","3.772069","2.703582","25.29632","-0.18658","8.721551","19.40634","2.297999","0.201687","31.09037","3.225294","0.103748","0.584007","10.82238","5.672535","21.30717"
"2004","NA","2.837184","NA","6.8586","2.026578","2.085615","6.706841","8.169941","2.096596","0.863132","-0.39541","7.585806","6.142224","1.117095","0.979268","NA","18.24194","3.051004","4.438451","6.591173","1.41774","1.569639","7.00539","-2.07092","1.841187","0.800771","1.052847","3.834155","1.461945","4.000267","2.422502","5.906675","4.477598","-1.893567","12.31648","2.28064","2.754762","1.75822","3.112354","2.394193","1.1536","51.29884","3.559194","2.753218","11.29084","3.038958","3.048934","0.181163","2.832427","2.129338","0.401971","1.341136","5.631467","NA","14.20563","4.223469","2.892754","2.309613","7.569261","4.673507","8.109237","2.050433","22.7744","6.735564","6.067285","3.853201","2.193555","3.146284","-0.390184","2.155043","13.53431","2.634728","-0.009807","6.885322","11.79898","4.090969","4.088057","NA","2.315138","3.587357","10.49215","NA","7.780861","-2.195298","1.453963","5.020779","1.173285","2.224302","6.184653","1.493861","12.45849","14.03289","-1.680378","4.694378","-0.448251","-3.105307","2.784854","NA","NA","10.36559","4.691471","11.46994","4.149776","0.241668","15.05552","8.471399","1.263863","0.464972","2.832931","0.627304","7.4351","0.196959","3.659611","5.976788","3.577923","2.365359","4.324504","2.994963","7.754018","11.86251","10.88589","12.24902","0.327391","0.516148","1.673631","6.738294","NA","4.446226","1.430107","11.01347","13.27761","9.989684","7.524572","3.589718","0.372545","3.430049","3.878408","-5.324807","0.412345","2.770336","7.129632","3.242814","10.96944","3.751242","3.665054","8.590178","1.642441","3.673198","9.162605","2.667572","2.959447","21.74681","7.762433","16.31312","-1.065971","12.53088","-0.696512","17.96014"
"2005","10.24702","2.344848","NA","0.486051","2.096416","2.291823","9.541221","13.22491","2.782171","5.347914","6.403105","7.031034","5.027697","0.96637","1.592673","NA","10.37469","3.685123","5.399052","6.862804","6.051417","4.010502","8.619132","2.878068","2.23001","1.174227","3.052697","1.775543","3.885717","21.28998","3.002049","5.048577","2.98001","0.425757","13.7895","2.561543","1.867186","1.474034","3.092343","1.683094","1.817982","4.154002","3.740013","2.201774","4.874343","3.369665","4.089606","0.842692","2.368995","1.756757","3.706471","2.054904","8.240971","31.37336","4.852254","5.627317","3.541011","3.46943","9.101502","6.926348","8.804988","3.315007","15.70861","3.564718","10.44763","3.7438","2.43068","3.999204","1.319452","1.980874","15.09893","3.452085","-0.28336","7.464635","9.919074","4.37594","8.155075","NA","3.400087","2.753566","7.168705","NA","10.70843","2.648283","3.897479","3.435356","2.675886","2.488319","6.760605","0.984183","11.74826","18.34565","1.306991","3.990186","0.531622","6.383947","3.003195","NA","NA","12.12744","4.930251","15.45723","2.259646","7.769074","17.82303","9.597396","1.692192","1.522164","6.856738","1.937669","9.061678","2.835745","1.612845","7.690624","2.118733","2.279884","6.791791","5.289713","11.25846","9.002818","12.67178","8.985015","0.612438","1.703331","0.469845","7.167501","NA","4.687433","1.68554","16.09015","17.1324","9.888899","2.698897","2.453796","0.449443","4.893203","0.931569","7.844021","6.774278","4.545274","7.085384","1.12183","8.671372","6.870297","1.995513","8.187159","1.85728","8.603589","4.701116","3.36583","3.735897","15.95419","8.280674","1.825667","-1.381168","11.80791","2.058745","18.30924"
"2006","6.766497","2.407941","NA","2.958837","1.790754","1.433693","8.232253","2.723459","1.793987","3.767843","2.36009","6.772895","7.255402","2.047247","2.39089","6.033737","6.95846","4.226473","2.33482","4.181084","7.309838","4.296749","11.53681","6.6884","2.017763","1.060814","3.402139","1.651677","2.464941","13.06066","6.535644","4.301484","3.381107","4.839021","11.4717","2.504651","2.535538","1.577682","3.473528","2.206311","1.927022","7.562836","1.953587","3.315881","7.58338","3.517274","4.434227","1.573895","2.498705","1.672358","-1.405916","2.330705","9.21088","34.71302","2.055409","4.408091","3.193734","4.259275","6.558296","6.661655","5.576119","3.184797","13.05761","3.938859","13.10439","6.061716","3.93144","6.67549","2.106013","2.120256","8.535812","6.234043","0.241005","8.606723","6.016648","5.540785","4.721027","NA","8.477302","2.242054","6.557861","NA","7.531582","1.438951","2.405612","6.071404","3.752246","2.664534","6.571781","3.288802","12.88962","10.80374","2.74797","3.633356","3.204423","1.576018","2.773166","2.925893","NA","6.239532","8.938634","13.92731","4.976809","0.075822","8.279004","9.137422","1.104465","2.36045","3.896098","3.500202","7.918466","2.460666","1.998825","6.520023","1.1257","3.10889","9.587158","3.84047","11.07857","6.596755","9.660429","8.864323","2.328328","2.115156","0.957081","11.59739","NA","4.033393","2.095192","11.70504","23.0608","11.28428","4.479162","2.463025","1.361337","5.181339","-0.338582","7.948","2.219133","4.653462","9.98781","3.946063","6.159297","8.309011","4.106986","9.627725","0.945091","7.216515","6.394056","3.222089","2.746324","13.64805","7.391474","3.685061","0.638139","10.82923","3.247844","9.061774"
"2007","8.666789","2.919111","NA","4.399162","1.419021","2.171615","16.56613","8.427365","1.827405","1.300076","-0.224385","9.110696","8.416316","3.7043","2.499708","1.568135","8.292554","2.309166","8.70531","3.647033","4.044337","4.119758","7.034021","0.92674","2.130584","0.737676","4.413388","4.820846","1.893636","16.92024","2.630431","5.543522","4.571148","4.4105","9.361718","2.375949","2.864121","2.291884","4.963233","3.642735","1.695806","6.172604","3.904723","2.288965","9.485408","2.787296","6.602041","2.47938","4.807012","1.491841","5.031782","2.326984","9.227818","22.92414","5.366144","2.797194","2.893705","3.861756","6.829188","12.18567","6.939548","2.90294","8.54781","7.979067","6.313385","5.991482","4.900421","5.070934","0.538063","1.825753","9.274837","4.716559","0.07728","10.77755","4.257837","10.27568","10.69777","3.5968","4.471359","2.540128","4.65804","NA","11.41415","6.232852","2.835536","8.012139","5.74711","2.313306","10.08532","2.076739","12.14775","10.28506","6.793196","3.969099","2.259238","1.415548","1.252574","4.350527","NA","7.251747","8.853779","7.931605","6.555868","0.061461","5.422557","11.13283","1.615178","0.722486","2.231655","5.81339","7.596945","4.184591","1.778956","2.958565","2.393428","2.456334","8.144264","1.861452","9.98005","4.838972","9.016084","9.048273","4.080192","5.85396","2.111919","7.675489","6.834148","4.586054","2.499937","6.393629","18.55828","6.400253","2.763525","3.663924","2.21711","8.097504","5.317576","-8.820321","0.939378","2.241883","13.14303","10.30336","5.850919","7.882278","3.420733","8.770425","1.820316","6.087364","8.110606","2.87055","7.235664","18.69868","8.30939","5.570851","4.346206","7.880311","6.179084","10.64233"
"2008","26.44389","3.390599","12.2369","9.153016","5.346338","3.204266","20.79717","24.40532","4.488344","7.97054","10.63119","8.960179","12.34819","3.519297","4.490917","7.741433","14.73345","6.302312","14.01035","5.684316","8.110173","3.957319","12.62376","9.285576","2.385225","2.430977","8.723433","5.909123","6.316689","17.28694","4.951701","7.000661","1.713291","6.76628","13.43596","4.680178","6.34845","2.638645","11.96","6.363194","3.417327","10.66865","4.395264","8.404457","18.33267","4.076619","10.37007","4.080371","7.732586","2.814804","5.272715","3.604427","9.999702","18.3549","4.445262","6.549616","4.154252","8.042883","11.35975","8.087102","11.40474","6.07836","15.53193","6.051849","9.873258","8.572814","4.06645","12.67752","4.588702","3.344916","22.02349","13.96861","1.364221","17.16883","15.08858","24.50897","21.27289","13.66068","5.301211","4.674932","7.616724","5.209793","17.4364","10.34465","5.562102","10.72135","10.91734","3.400733","15.39567","3.715928","12.89377","9.309608","12.03574","5.129474","8.315895","9.146295","4.261002","8.757599","14.50521","7.3479","9.68615","8.738862","9.103443","11.27681","11.57198","19.82963","2.484615","3.773214","9.87601","12.39986","19.74809","8.721824","5.789168","8.167208","4.349452","2.587583","10.16787","9.908943","9.076054","7.846448","14.1116","15.41227","9.889418","7.347606","6.623514","17.33413","8.203615","7.259101","4.290598","12.40077","31.96971","14.69902","4.611117","5.65121","3.480985","12.67944","36.93753","10.24301","8.707703","5.440896","20.5112","9.066488","10.45514","12.05279","4.920489","10.46022","2.949734","12.03213","7.878251","3.814953","10.07376","30.36841","23.11519","11.60978","9.357574","18.97002","10.05267","12.44249"
"2009","-6.791447","2.280868","1.571174","3.553421","-0.540808","0.519516","1.332265","10.55273","-0.05477","2.163626","2.628074","5.438608","2.747297","2.797115","2.071479","-0.226801","12.83787","-0.973622","3.341636","4.890164","3.657634","3.80583","8.098863","3.530304","0.299423","-0.474783","1.498497","-0.731566","1.017244","34.26035","4.407733","4.194623","4.468923","0.992006","7.84375","0.333407","1.015654","0.315714","1.694997","0.010569","1.301961","1.476031","9.363407","5.155226","11.85428","-0.287211","-0.081356","-0.009778","3.175998","0.085834","1.895784","2.166887","1.708435","4.696791","4.566605","4.692186","1.21113","-0.301497","1.866359","2.950577","5.504613","2.371985","-0.001414","4.221103","4.807909","9.726673","-4.463057","12.01401","3.29764","0.789182","9.570191","-0.734027","-1.345861","7.312168","10.51744","6.790832","0.571036","9.826244","2.060537","2.759451","0.152658","1.222265","7.433512","2.454829","-0.149015","7.385187","4.431882","0.368401","3.499579","1.01243","-0.064826","8.937817","4.535087","5.295752","-0.742407","2.478518","2.09286","3.440795","3.751271","2.222181","2.544637","8.386483","9.438482","0.632077","12.56608","3.678873","1.186801","2.168355","11.13785","3.467886","12.16162","2.406416","2.935011","4.213252","3.820794","-0.83803","2.594811","2.764717","1.302227","5.582688","11.63076","12.89886","5.061702","-2.24322","0.594222","7.092125","7.459656","0.543611","2.196153","8.111933","16.95638","-0.13294","1.628305","0.843205","-0.311869","7.474233","31.6954","9.961567","3.728095","-0.840957","7.442068","0.662342","1.441154","7.036998","3.571031","6.249723","-0.411475","13.00848","7.063894","-0.320358","0.431351","27.07371","6.727187","6.326497","-2.421795","5.38492","7.219435","13.3792"
"2010","2.186325","3.565223","0.882824","8.183041","3.378869","1.800565","5.686133","6.494455","2.185653","2.471169","-0.763367","8.153102","2.443262","1.962132","1.348238","2.164586","7.659755","0.891284","2.496194","5.040096","5.82368","3.665106","6.955931","1.51353","1.769332","0.68431","1.407561","3.175266","1.228121","-17.94738","0.391619","2.267261","3.282542","2.07476","5.667688","2.430916","1.470443","0.611456","3.963225","2.996843","2.30766","6.335207","4.201726","3.551059","11.07982","1.796888","2.981192","1.227185","3.681839","1.530284","1.4611","3.29594","7.122832","15.45427","5.049547","7.787775","4.709424","3.433473","3.863221","3.732086","4.705134","1.026746","5.696593","4.852178","5.149568","10.36058","-0.922264","5.397919","2.724521","1.518833","12.59957","4.858774","-0.626341","7.08166","4.08481","7.982483","4.021001","-3.897059","0.855381","2.937964","5.980062","3.963448","7.3334","2.804522","3.252368","3.601494","1.305406","2.271998","-1.087732","0.994543","7.356462","9.24409","6.144383","4.154853","1.496313","1.128558","1.516712","0.375875","12.46618","6.304106","2.969276","7.385368","4.87711","0.800612","13.73698","5.472045","1.271517","2.418906","9.338375","3.270639","12.93271","3.53542","1.531718","3.791504","2.699477","1.396632","4.658963","3.754158","-2.435094","6.117912","6.843726","-0.219297","5.365492","1.215196","2.822563","0.970615","7.186824","1.181623","2.582433","6.145466","13.34798","6.95693","0.963466","1.7973","1.268049","4.514066","-2.422873","-2.12047","1.452996","3.274124","6.899573","6.759824","3.547769","10.52406","4.325436","8.565545","1.122623","3.994461","6.703609","1.63657","0.7489","28.1662","9.202945","0.799784","3.503814","11.17602","4.095062","8.499637"
"2011","11.82727","3.411339","0.88395","7.433186","3.459773","3.253647","7.772622","9.616755","3.527724","2.909633","2.75053","10.26374","4.217705","-0.373299","3.201892","4.108633","53.17621","1.563969","9.884182","6.637455","9.413696","3.529085","8.485548","1.296059","2.890463","0.225847","3.335326","5.531604","4.906071","15.314","1.767563","3.417614","1.816374","4.473239","4.877206","3.285835","1.914772","2.109214","5.077596","1.12199","2.75322","8.447497","5.748323","4.471898","10.09357","3.195682","4.977199","3.439535","7.282523","2.11521","1.262275","4.458481","8.528548","21.35529","4.796185","4.803305","3.330469","3.024681","6.214479","4.983094","6.762154","2.264826","8.391172","3.911478","5.349732","8.314222","2.553262","3.997467","3.420254","2.776514","7.517481","4.179197","-0.284925","8.363545","14.03925","16.63575","5.371998","1.509043","5.842041","4.024546","7.569827","4.988263","8.459238","15.45302","2.763319","4.990271","4.12316","3.408957","4.361971","0.907838","7.61322","9.457728","11.26884","3.404339","3.889934","3.028055","2.722021","3.444558","11.14704","5.680463","6.507652","7.634903","5.011215","2.946075","10.81189","8.084413","2.337164","1.284952","9.240958","4.040515","11.91638","5.827213","3.370626","4.718332","4.213122","3.647516","8.247951","2.876489","1.915005","5.787273","8.430303","3.078619","3.886598","3.401669","5.244844","7.447412","6.788547","5.124003","2.89684","11.13196","14.32849","17.72069","3.912437","1.798079","2.62451","6.10728","2.560876","-3.695688","3.566119","3.801835","12.47331","13.49007","6.27845","5.101786","3.211027","6.47198","1.366962","18.65851","8.098042","3.139652","3.182755","26.07554","18.67193","5.202954","7.315692","19.55138","5.016218","6.444654"
"2012","6.441204","2.048389","0.662335","2.471947","3.375024","2.481896","1.009744","18.12459","2.836955","6.555136","3.814397","6.548758","2.953738","2.77013","1.968736","2.260233","59.49845","1.336534","4.51482","5.402098","4.52443","3.409431","7.533455","5.77354","1.529796","-0.698506","2.999438","2.61","1.309665","8.587209","5.020207","3.172451","6.287604","2.541281","4.491452","2.382109","3.275326","1.925602","3.73828","1.350993","2.395468","3.676669","9.695611","5.098999","7.123854","2.442875","3.934734","2.781742","3.412213","1.949042","2.655694","2.823169","-0.933463","15.22151","4.252384","3.657616","1.504474","2.403582","3.780716","2.397825","5.195995","3.412736","6.283966","5.645812","3.983054","9.382569","1.688297","5.182071","1.726967","3.057746","6.88735","4.52261","-0.025976","5.168436","9.372778","2.778189","3.026905","-3.05448","0.814982","2.182651","4.255251","6.559962","6.836835","6.150662","4.168472","6.126327","3.088747","2.660223","2.274061","1.296021","4.629336","5.714094","10.89369","4.111583","3.306104","5.286505","2.415143","4.138809","2.595524","4.895227","3.842094","21.56625","6.72418","0.455789","12.19918","7.192569","2.453924","0.678996","9.430569","2.946379","9.685432","5.707624","3.656761","3.165097","3.736218","2.771501","3.672889","2.776702","1.862376","3.337671","5.095844","10.2823","2.872216","1.408524","4.583713","5.88186","6.586477","1.72777","2.825752","7.338484","10.6456","4.98714","3.594674","2.594717","0.886603","8.923648","7.123709","13.96835","2.577836","3.010229","5.826808","11.77133","1.153779","9.26376","4.624809","8.890858","1.617537","14.03342","8.099338","2.073191","2.595904","21.06429","9.068588","2.003201","2.485392","9.9287","5.744007","6.587903"
"2013","7.381162","1.926028","1.096233","5.746416","1.054846","2.005667","2.432229","7.935605","1.113519","0.983603","0.548783","7.524941","0.888282","3.298506","0.718961","-0.004111","18.33036","0.49779","5.735396","6.199815","1.806078","8.61626","5.873845","1.469031","0.924594","-0.218501","1.789225","2.567516","2.579335","0.808428","4.649064","2.022741","-4.339545","1.508394","5.224925","-0.400373","1.431576","1.528553","2.710257","-0.052459","0.787089","4.816936","4.099215","2.721376","9.471417","1.412735","2.783049","1.48007","2.903882","0.877289","0.499509","2.562297","-0.505296","11.87997","5.700563","2.944839","-0.916473","-0.050702","4.340413","1.909052","5.159279","2.217294","5.846023","1.710333","6.412533","10.10105","0.503923","3.86864","1.493931","1.192329","9.339002","4.827496","0.337779","5.802984","5.72215","6.614297","2.926389","-1.491129","1.102908","1.301192","6.356886","5.555563","7.558937","2.628897","1.462284","4.965091","1.053513","1.733692","-0.026011","1.873997","4.637175","5.828581","3.812816","3.804599","2.785955","-0.588467","1.37658","2.211238","4.264995","4.121262","3.535557","27.07753","5.609172","2.29243","8.482313","7.136939","2.506205","2.111989","9.046261","1.04506","7.690368","4.031032","2.80736","2.946081","1.170599","0.274048","2.680724","1.721831","3.098954","3.991643","6.764415","5.946543","3.514486","0.696666","2.361238","5.362385","5.522143","0.756128","1.607042","7.698052","8.102994","1.907755","1.395172","1.771809","-0.045534","5.617888","4.352559","0.160441","1.811533","2.184724","5.03632","11.061","0.773267","5.171314","5.312186","7.495623","1.025496","5.469459","8.5768","1.465972","0.803343","40.59167","6.586536","0.591138","1.756521","11.00255","5.773487","6.992456"
"2014","4.668852","1.633453","2.345929","2.998278","1.084368","1.608082","1.434996","4.400786","0.342119","-1.124494","-0.252461","6.982548","-1.414612","2.651243","1.499395","-1.013848","18.09496","1.205703","5.763222","6.323886","1.76855","8.210415","4.41102","25.34406","1.920467","-0.009426","4.714658","2.055986","0.449757","1.22325","0.929722","2.906334","6.086059","-0.234837","4.519406","-1.361403","0.34563","0.93039","1.34546","0.803395","0.564878","3.004328","3.87172","3.592922","10.06389","-0.147899","-0.112622","1.042094","0.522626","0.472532","4.698204","1.462374","3.075557","9.705954","5.952805","4.304726","-1.307867","-0.982999","3.41885","0.857905","6.128392","-0.209341","4.569472","-0.218206","6.395801","6.423655","0.181468","2.043391","0.493435","0.251802","8.295683","2.907677","2.770824","6.604458","6.88295","7.536677","3.849189","2.096158","0.243667","1.274603","4.124213","1.124082","9.842551","0.622117","3.51833","5.305895","0.112745","0.629127","0.623134","0.444631","5.088928","6.089327","2.126825","4.019953","-0.272814","0.880073","0.315576","-0.707731","2.554731","3.529885","3.202866","23.71915","5.347017","-0.911296","8.042838","6.039454","0.977895","2.068306","8.378512","1.028114","7.196967","2.641147","3.248634","4.167816","0.175731","-0.274859","5.022292","1.731777","3.32356","1.070028","7.832038","2.385593","2.244949","-1.047132","1.025615","5.140787","4.655898","1.143272","1.116675","2.088671","6.998592","3.37883","-0.068093","0.202943","-0.180321","5.676311","1.395483","1.676999","0.184552","1.895399","6.025258","0.717778","2.485127","5.690805","4.633564","8.851432","1.344968","4.295871","8.876668","1.615463","0.192219","62.1502","4.08879","-0.417348","0.425018","8.096663","6.127663","7.819672"
